haskellPackages.alsa-mixer                                   alsa-mixer-0.2.0.3
haskellPackages.alsa-pcm                                     alsa-pcm-0.6.0.4
haskellPackages.alsa-pcm-tests                               alsa-pcm-tests-0.1
haskellPackages.alsa-seq                                     alsa-seq-0.6.0.7
haskellPackages.alsa-seq-tests                               alsa-seq-tests-0.1
haskellPackages.altcomposition                               altcomposition-0.2.3.0
haskellPackages.alternative-extra                            alternative-extra-0.1.0.0
haskellPackages.alternative-io                               alternative-io-0.0.1
haskellPackages.alternators                                  alternators-0.1.1.1
haskellPackages.altfloat                                     altfloat-0.3.1
haskellPackages.alure                                        alure-0.1
haskellPackages.ALUT                                         ALUT-2.4.0.2
haskellPackages.amazon-emailer                               amazon-emailer-0.4.0.0
haskellPackages.amazon-emailer-client-snap                   amazon-emailer-client-snap-0.1.1.1
haskellPackages.amazon-products                              amazon-products-0.1.0.1
haskellPackages.amazonka                                     amazonka-1.4.5
haskellPackages.amazonka-apigateway                          amazonka-apigateway-1.4.5
haskellPackages.amazonka-application-autoscaling             amazonka-application-autoscaling-1.4.5
haskellPackages.amazonka-appstream                           amazonka-appstream-1.4.5
haskellPackages.amazonka-autoscaling                         amazonka-autoscaling-1.4.5
haskellPackages.amazonka-budgets                             amazonka-budgets-1.4.5
haskellPackages.amazonka-certificatemanager                  amazonka-certificatemanager-1.4.5
haskellPackages.amazonka-cloudformation                      amazonka-cloudformation-1.4.5
haskellPackages.amazonka-cloudfront                          amazonka-cloudfront-1.4.5
haskellPackages.amazonka-cloudhsm                            amazonka-cloudhsm-1.4.5
haskellPackages.amazonka-cloudsearch                         amazonka-cloudsearch-1.4.5
haskellPackages.amazonka-cloudsearch-domains                 amazonka-cloudsearch-domains-1.4.5
haskellPackages.amazonka-cloudtrail                          amazonka-cloudtrail-1.4.5
haskellPackages.amazonka-cloudwatch                          amazonka-cloudwatch-1.4.5
haskellPackages.amazonka-cloudwatch-events                   amazonka-cloudwatch-events-1.4.5
haskellPackages.amazonka-cloudwatch-logs                     amazonka-cloudwatch-logs-1.4.5
haskellPackages.amazonka-codebuild                           amazonka-codebuild-1.4.5
haskellPackages.amazonka-codecommit                          amazonka-codecommit-1.4.5
haskellPackages.amazonka-codedeploy                          amazonka-codedeploy-1.4.5
haskellPackages.amazonka-codepipeline                        amazonka-codepipeline-1.4.5
haskellPackages.amazonka-cognito-identity                    amazonka-cognito-identity-1.4.5
haskellPackages.amazonka-cognito-idp                         amazonka-cognito-idp-1.4.5
haskellPackages.amazonka-cognito-sync                        amazonka-cognito-sync-1.4.5
haskellPackages.amazonka-config                              amazonka-config-1.4.5
haskellPackages.amazonka-core                                amazonka-core-1.4.5
haskellPackages.amazonka-datapipeline                        amazonka-datapipeline-1.4.5
haskellPackages.amazonka-devicefarm                          amazonka-devicefarm-1.4.5
haskellPackages.amazonka-directconnect                       amazonka-directconnect-1.4.5
haskellPackages.amazonka-discovery                           amazonka-discovery-1.4.5
haskellPackages.amazonka-dms                                 amazonka-dms-1.4.5
haskellPackages.amazonka-ds                                  amazonka-ds-1.4.5
